#Release 14.7 - par P.20131013 (nt)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Fri Nov 10 11:41:43 2023

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       esquematicoAAAAAAAAAAAAAAA_map.ncd
#OUTPUT FILE:      esquematicoAAAAAAAAAAAAAAA_pad.csv
#PART TYPE:        xc7a100t
#SPEED GRADE:      -3
#PACKAGE:          ftg256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A13,weightInGrams<2>,IOB,IO_L7P_T1_AD2P_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
A14,weightInKilogramsFraction<12>,IOB,IO_L7N_T1_AD2N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
A15,,IOB33S,IO_L9N_T1_DQS_AD3N_15,UNUSED,,15,,,,,,,,,
A16,,,VCCO_15,,,15,,,,,1.80,,,,
B1,weightInGrams<4>,IOB,IO_L9N_T1_DQS_AD7N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
B2,,IOB33M,IO_L8P_T1_AD14P_35,UNUSED,,35,,,,,,,,,
B3,,,VCCO_35,,,35,,,,,1.80,,,,
B4,weightInKilogramsInteger<1>,IOB,IO_L4P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B5,,IOB33S,IO_L2N_T0_AD12N_35,UNUSED,,35,,,,,,,,,
B6,weightInKilogramsInteger<0>,IOB,IO_L2P_T0_AD12P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
B7,,IOB33M,IO_L1P_T0_AD4P_35,UNUSED,,35,,,,,,,,,
B8,,,GND,,,,,,,,,,,,
B9,weightInKilogramsFraction<5>,IOB,IO_L3P_T0_DQS_AD1P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B10,weightInKilogramsFraction<7>,IOB,IO_L4P_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B11,weightInKilogramsFraction<8>,IOB,IO_L4N_T0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B12,weightInKilogramsFraction<9>,IOB,IO_L5P_T0_AD9P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B13,,,VCCO_15,,,15,,,,,1.80,,,,
B14,weightInKilogramsFraction<13>,IOB,IO_L8N_T1_AD10N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
B15,,IOB33M,IO_L9P_T1_DQS_AD3P_15,UNUSED,,15,,,,,,,,,
B16,,IOB33S,IO_L10N_T1_AD11N_15,UNUSED,,15,,,,,,,,,
C1,weightInGrams<3>,IOB,IO_L9P_T1_DQS_AD7P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C2,,IOB33S,IO_L7N_T1_AD6N_35,UNUSED,,35,,,,,,,,,
C3,,IOB33M,IO_L7P_T1_AD6P_35,UNUSED,,35,,,,,,,,,
C4,weightInGrams<7>,IOB,IO_L12N_T1_MRCC_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
C5,,,GND,,,,,,,,,,,,
C6,weightInKilogramsInteger<3>,IOB,IO_L5N_T0_AD13N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
C7,,IOB33M,IO_L5P_T0_AD13P_35,UNUSED,,35,,,,,,,,,
C8,weightInKilogramsFraction<1>,IOB,IO_L1P_T0_AD0P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C9,weightInKilogramsFraction<2>,IOB,IO_L1N_T0_AD0N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C10,,,VCCO_15,,,15,,,,,1.80,,,,
C11,,IOB33M,IO_L11P_T1_SRCC_15,UNUSED,,15,,,,,,,,,
C12,weightInGrams<10>,IOB,IO_L11N_T1_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C13,weightInGrams<8>,IOB,IO_L12N_T1_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
C14,weightInKilogramsFraction<11>,IOB,IO_L8P_T1_AD10P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
C15,,,GND,,,,,,,,,,,,
C16,,IOB33M,IO_L10P_T1_AD11P_15,UNUSED,,15,,,,,,,,,
D1,weightInGrams<6>,IOB,IO_L10N_T1_AD15N_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
D2,,,GND,,,,,,,,,,,,
D3,weightInKilogramsInteger<5>,IOB,IO_L11N_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
D4,,IOB33M,IO_L12P_T1_MRCC_35,UNUSED,,35,,,,,,,,,
D5,,IOB33S,IO_L6N_T0_VREF_35,UNUSED,,35,,,,,,,,,
D6,,IOB33M,IO_L6P_T0_35,UNUSED,,35,,,,,,,,,
D7,,,VCCO_35,,,35,,,,,1.80,,,,
D8,weightInGrams<1>,IOB,IO_L6P_T0_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D9,weightInGrams<0>,IOB,IO_L6N_T0_VREF_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D10,weightInKilogramsFraction<0>,IOB,IO_0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
D11,,IOB33S,IO_L14N_T2_SRCC_15,UNUSED,,15,,,,,,,,,
D12,,,GND,,,,,,,,,,,,
D13,,IOB33M,IO_L12P_T1_MRCC_15,UNUSED,,15,,,,,,,,,
D14,weightInGrams<11>,IOB,IO_L15P_T2_DQS_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
D15,,IOB33S,IO_L15N_T2_DQS_ADV_B_15,UNUSED,,15,,,,,,,,,
D16,,IOB33S,IO_L17N_T2_A25_15,UNUSED,,15,,,,,,,,,
E1,,IOB33S,IO_L15N_T2_DQS_35,UNUSED,,35,,,,,,,,,
E2,weightInGrams<5>,IOB,IO_L10P_T1_AD15P_35,INPUT,LVCMOS18*,35,,,,NONE,,UNLOCATED,NO,NONE,
E3,weightInKilogramsInteger<2>,IOB,IO_L11P_T1_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,,,VCCO_35,,,35,,,,,1.80,,,,
E5,,IOB33S,IO_L13N_T2_MRCC_35,UNUSED,,35,,,,,,,,,
E6,,IOB33,IO_0_35,UNUSED,,35,,,,,,,,,
E7,,,CFGBVS_0,,,,,,,,,,,,
E8,,,CCLK_0,,,,,,,,,,,,
E9,,,GND,,,,,,,,,,,,
E10,,,VCCBRAM,,,,,,,,,,,,
E11,weightInGrams<13>,IOB,IO_L14P_T2_SRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E12,weightInGrams<9>,IOB,IO_L13P_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E13,weightInGrams<12>,IOB,IO_L13N_T2_MRCC_15,INPUT,LVCMOS18*,15,,,,NONE,,UNLOCATED,NO,NONE,
E14,,,VCCO_15,,,15,,,,,1.80,,,,
E15,,IOB33S,IO_L18N_T2_A23_15,UNUSED,,15,,,,,,,,,
E16,,IOB33M,IO_L17P_T2_A26_15,UNUSED,,15,,,,,,,,,
F1,,,VCCO_35,,,35,,,,,1.80,,,,
F2,,IOB33M,IO_L15P_T2_DQS_35,UNUSED,,35,,,,,,,,,
F3,,IOB33S,IO_L14N_T2_SRCC_35,UNUSED,,35,,,,,,,,,
F4,,IOB33M,IO_L14P_T2_SRCC_35,UNUSED,,35,,,,,,,,,
F5,,IOB33M,IO_L13P_T2_MRCC_35,UNUSED,,35,,,,,,,,,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCINT,,,,,,,,1.0,,,,
F8,,,VCCBATT_0,,,,,,,,,,,,
F9,,,VCCINT,,,,,,,,1.0,,,,
F10,,,GND,,,,,,,,,,,,
F11,,,VCCBRAM,,,,,,,,,,,,
F12,weightInKilogramsInteger<6>,IOB,IO_L16P_T2_A28_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F13,,IOB33S,IO_L16N_T2_A27_15,UNUSED,,15,,,,,,,,,
F14,,IOB33S,IO_L21N_T3_DQS_A18_15,UNUSED,,15,,,,,,,,,
F15,,IOB33M,IO_L18P_T2_A24_15,UNUSED,,15,,,,,,,,,
F16,,,GND,,,,,,,,,,,,
G1,,IOB33S,IO_L17N_T2_35,UNUSED,,35,,,,,,,,,
G2,,IOB33M,IO_L17P_T2_35,UNUSED,,35,,,,,,,,,
G3,,,GND,,,,,,,,,,,,
G4,,IOB33S,IO_L16N_T2_35,UNUSED,,35,,,,,,,,,
G5,weightInKilogramsInteger<7>,IOB,IO_L16P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G6,,,VCCINT,,,,,,,,1.0,,,,
G7,,,GNDADC_0,,,,,,,,,,,,
G8,,,VCCADC_0,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,VCCAUX,,,,,,,,1.8,,,,
G11,,IOB33,IO_25_15,UNUSED,,15,,,,,,,,,
G12,,IOB33S,IO_L19N_T3_A21_VREF_15,UNUSED,,15,,,,,,,,,
G13,,,GND,,,,,,,,,,,,
G14,weightInKilogramsInteger<13>,IOB,IO_L21P_T3_DQS_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,,IOB33S,IO_L24N_T3_RS0_15,UNUSED,,15,,,,,,,,,
G16,,IOB33S,IO_L22N_T3_A16_15,UNUSED,,15,,,,,,,,,
H1,,IOB33S,IO_L20N_T3_35,UNUSED,,35,,,,,,,,,
H2,,IOB33M,IO_L20P_T3_35,UNUSED,,35,,,,,,,,,
H3,,IOB33S,IO_L21N_T3_DQS_35,UNUSED,,35,,,,,,,,,
H4,weightInKilogramsInteger<8>,IOB,IO_L18N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,weightInKilogramsInteger<9>,IOB,IO_L18P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,,,GND,,,,,,,,,,,,
H7,,,VREFN_0,,,,,,,,,,,,
H8,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
H9,,,VCCINT,,,,,,,,1.0,,,,
H10,,,DONE_0,,,,,,,,,,,,
H11,,IOB33M,IO_L19P_T3_A22_15,UNUSED,,15,,,,,,,,,
H12,,IOB33M,IO_L20P_T3_A20_15,UNUSED,,15,,,,,,,,,
H13,weightInKilogramsInteger<12>,IOB,IO_L20N_T3_A19_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H14,,IOB33M,IO_L24P_T3_RS1_15,UNUSED,,15,,,,,,,,,
H15,,,VCCO_15,,,15,,,,,1.80,,,,
H16,,IOB33M,IO_L22P_T3_A17_15,UNUSED,,15,,,,,,,,,
J1,,IOB33S,IO_L22N_T3_35,UNUSED,,35,,,,,,,,,
J2,,,VCCO_35,,,35,,,,,1.80,,,,
J3,,IOB33M,IO_L21P_T3_DQS_35,UNUSED,,35,,,,,,,,,
J4,weightInKilogramsInteger<10>,IOB,IO_L19N_T3_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J5,weightInKilogramsInteger<11>,IOB,IO_L19P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J6,,,VCCINT,,,,,,,,1.0,,,,
J7,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
J8,,,VREFP_0,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCAUX,,,,,,,,1.8,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCO_15,,,15,,,,,1.80,,,,
J13,,IOB33M,IO_L1P_T0_D00_MOSI_14,UNUSED,,14,,,,,,,,,
J14,,IOB33S,IO_L1N_T0_D01_DIN_14,UNUSED,,14,,,,,,,,,
J15,,IOB33M,IO_L23P_T3_FOE_B_15,UNUSED,,15,,,,,,,,,
J16,,IOB33S,IO_L23N_T3_FWE_B_15,UNUSED,,15,,,,,,,,,
K1,,IOB33M,IO_L22P_T3_35,UNUSED,,35,,,,,,,,,
K2,,IOB33S,IO_L24N_T3_35,UNUSED,,35,,,,,,,,,
K3,,IOB33M,IO_L24P_T3_35,UNUSED,,35,,,,,,,,,
K4,,,GND,,,,,,,,,,,,
K5,,IOB33,IO_25_35,UNUSED,,35,,,,,,,,,
K6,,,GND,,,,,,,,,,,,
K7,,,DXN_0,,,,,,,,,,,,
K8,,,DXP_0,,,,,,,,,,,,
K9,,,VCCINT,,,,,,,,1.0,,,,
K10,,,INIT_B_0,,,,,,,,,,,,
K11,,,VCCAUX,,,,,,,,1.8,,,,
K12,,IOB33,IO_0_14,UNUSED,,14,,,,,,,,,
K13,,IOB33M,IO_L5P_T0_D06_14,UNUSED,,14,,,,,,,,,
K14,,,GND,,,,,,,,,,,,
K15,,IOB33M,IO_L2P_T0_D02_14,UNUSED,,14,,,,,,,,,
K16,,IOB33S,IO_L2N_T0_D03_14,UNUSED,,14,,,,,,,,,
L1,,,GND,,,,,,,,,,,,
L2,,IOB33S,IO_L23N_T3_35,UNUSED,,35,,,,,,,,,
L3,,IOB33M,IO_L23P_T3_35,UNUSED,,35,,,,,,,,,
L4,,IOB33M,IO_L1P_T0_34,UNUSED,,34,,,,,,,,,
L5,,IOB33,IO_0_34,UNUSED,,34,,,,,,,,,
L6,,,VCCO_0,,,0,,,,,any******,,,,
L7,,,TCK_0,,,,,,,,,,,,
L8,,,VCCINT,,,,,,,,1.0,,,,
L9,,,PROGRAM_B_0,,,,,,,,,,,,
L10,,,VCCAUX,,,,,,,,1.8,,,,
L11,,,GND,,,,,,,,,,,,
L12,,IOB33M,IO_L6P_T0_FCS_B_14,UNUSED,,14,,,,,,,,,
L13,,IOB33S,IO_L5N_T0_D07_14,UNUSED,,14,,,,,,,,,
L14,,IOB33M,IO_L4P_T0_D04_14,UNUSED,,14,,,,,,,,,
L15,,IOB33M,IO_L3P_T0_DQS_PUDC_B_14,UNUSED,,14,,,,,,,,,
L16,,,VCCO_14,,,14,,,,,any******,,,,
M1,,IOB33S,IO_L2N_T0_34,UNUSED,,34,,,,,,,,,
M2,,IOB33M,IO_L2P_T0_34,UNUSED,,34,,,,,,,,,
M3,,,VCCO_34,,,34,,,,,any******,,,,
M4,,IOB33S,IO_L1N_T0_34,UNUSED,,34,,,,,,,,,
M5,,IOB33M,IO_L6P_T0_34,UNUSED,,34,,,,,,,,,
M6,,IOB33M,IO_L19P_T3_A10_D26_14,UNUSED,,14,,,,,,,,,
M7,,,TMS_0,,,,,,,,,,,,
M8,,,GND,,,,,,,,,,,,
M9,,,M0_0,,,,,,,,,,,,
M10,,,M1_0,,,,,,,,,,,,
M11,,,M2_0,,,,,,,,,,,,
M12,,IOB33S,IO_L6N_T0_D08_VREF_14,UNUSED,,14,,,,,,,,,
M13,,,VCCO_14,,,14,,,,,any******,,,,
M14,,IOB33S,IO_L4N_T0_D05_14,UNUSED,,14,,,,,,,,,
M15,,IOB33S,IO_L3N_T0_DQS_EMCCLK_14,UNUSED,,14,,,,,,,,,
M16,,IOB33M,IO_L7P_T1_D09_14,UNUSED,,14,,,,,,,,,
N1,,IOB33M,IO_L4P_T0_34,UNUSED,,34,,,,,,,,,
N2,,IOB33S,IO_L3N_T0_DQS_34,UNUSED,,34,,,,,,,,,
N3,,IOB33M,IO_L3P_T0_DQS_34,UNUSED,,34,,,,,,,,,
N4,,IOB33S,IO_L6N_T0_VREF_34,UNUSED,,34,,,,,,,,,
N5,,,GND,,,,,,,,,,,,
N6,,IOB33S,IO_L19N_T3_A09_D25_VREF_14,UNUSED,,14,,,,,,,,,
N7,,,TDI_0,,,,,,,,,,,,
N8,,,TDO_0,,,,,,,,,,,,
N9,,IOB33M,IO_L18P_T2_A12_D28_14,UNUSED,,14,,,,,,,,,
N10,,,VCCO_14,,,14,,,,,any******,,,,
N11,,IOB33M,IO_L13P_T2_MRCC_14,UNUSED,,14,,,,,,,,,
N12,,IOB33S,IO_L13N_T2_MRCC_14,UNUSED,,14,,,,,,,,,
N13,,IOB33M,IO_L11P_T1_SRCC_14,UNUSED,,14,,,,,,,,,
N14,,IOB33M,IO_L12P_T1_MRCC_14,UNUSED,,14,,,,,,,,,
N15,,,GND,,,,,,,,,,,,
N16,,IOB33S,IO_L7N_T1_D10_14,UNUSED,,14,,,,,,,,,
P1,,IOB33S,IO_L4N_T0_34,UNUSED,,34,,,,,,,,,
P2,,,GND,,,,,,,,,,,,
P3,,IOB33S,IO_L5N_T0_34,UNUSED,,34,,,,,,,,,
P4,,IOB33M,IO_L5P_T0_34,UNUSED,,34,,,,,,,,,
P5,,IOB33M,IO_L10P_T1_34,UNUSED,,34,,,,,,,,,
P6,,IOB33,IO_25_14,UNUSED,,14,,,,,,,,,
P7,,,VCCO_14,,,14,,,,,any******,,,,
P8,,IOB33M,IO_L20P_T3_A08_D24_14,UNUSED,,14,,,,,,,,,
P9,,IOB33S,IO_L18N_T2_A11_D27_14,UNUSED,,14,,,,,,,,,
P10,,IOB33M,IO_L14P_T2_SRCC_14,UNUSED,,14,,,,,,,,,
P11,,IOB33S,IO_L14N_T2_SRCC_14,UNUSED,,14,,,,,,,,,
P12,,,GND,,,,,,,,,,,,
P13,,IOB33S,IO_L11N_T1_SRCC_14,UNUSED,,14,,,,,,,,,
P14,,IOB33S,IO_L12N_T1_MRCC_14,UNUSED,,14,,,,,,,,,
P15,,IOB33M,IO_L8P_T1_D11_14,UNUSED,,14,,,,,,,,,
P16,,IOB33S,IO_L8N_T1_D12_14,UNUSED,,14,,,,,,,,,
R1,,IOB33S,IO_L7N_T1_34,UNUSED,,34,,,,,,,,,
R2,,IOB33M,IO_L7P_T1_34,UNUSED,,34,,,,,,,,,
R3,,IOB33M,IO_L8P_T1_34,UNUSED,,34,,,,,,,,,
R4,,,VCCO_34,,,34,,,,,any******,,,,
R5,,IOB33M,IO_L23P_T3_A03_D19_14,UNUSED,,14,,,,,,,,,
R6,,IOB33M,IO_L24P_T3_A01_D17_14,UNUSED,,14,,,,,,,,,
R7,,IOB33S,IO_L24N_T3_A00_D16_14,UNUSED,,14,,,,,,,,,
R8,,IOB33S,IO_L20N_T3_A07_D23_14,UNUSED,,14,,,,,,,,,
R9,,,GND,,,,,,,,,,,,
R10,,IOB33M,IO_L17P_T2_A14_D30_14,UNUSED,,14,,,,,,,,,
R11,,IOB33S,IO_L17N_T2_A13_D29_14,UNUSED,,14,,,,,,,,,
R12,,IOB33M,IO_L15P_T2_DQS_RDWR_B_14,UNUSED,,14,,,,,,,,,
R13,,IOB33M,IO_L16P_T2_CSI_B_14,UNUSED,,14,,,,,,,,,
R14,,,VCCO_14,,,14,,,,,any******,,,,
R15,,IOB33M,IO_L9P_T1_DQS_14,UNUSED,,14,,,,,,,,,
R16,,IOB33S,IO_L9N_T1_DQS_D13_14,UNUSED,,14,,,,,,,,,
T1,,,VCCO_34,,,34,,,,,any******,,,,
T2,,IOB33S,IO_L8N_T1_34,UNUSED,,34,,,,,,,,,
T3,,IOB33S,IO_L9N_T1_DQS_34,UNUSED,,34,,,,,,,,,
T4,,IOB33M,IO_L9P_T1_DQS_34,UNUSED,,34,,,,,,,,,
T5,,IOB33S,IO_L23N_T3_A02_D18_14,UNUSED,,14,,,,,,,,,
T6,,,GND,,,,,,,,,,,,
T7,,IOB33M,IO_L21P_T3_DQS_14,UNUSED,,14,,,,,,,,,
T8,,IOB33S,IO_L21N_T3_DQS_A06_D22_14,UNUSED,,14,,,,,,,,,
T9,,IOB33M,IO_L22P_T3_A05_D21_14,UNUSED,,14,,,,,,,,,
T10,,IOB33S,IO_L22N_T3_A04_D20_14,UNUSED,,14,,,,,,,,,
T11,,,VCCO_14,,,14,,,,,any******,,,,
T12,,IOB33S,IO_L15N_T2_DQS_DOUT_CSO_B_14,UNUSED,,14,,,,,,,,,
T13,,IOB33S,IO_L16N_T2_A15_D31_14,UNUSED,,14,,,,,,,,,
T14,,IOB33M,IO_L10P_T1_D14_14,UNUSED,,14,,,,,,,,,
T15,,IOB33S,IO_L10N_T1_D15_14,UNUSED,,14,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#All RSVD_0 pins must be tied to GROUND.
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
